End Date,USD/CAD
2016/1/19,1.45067
2016/1/18,1.45301
2016/1/17,1.4536
2016/1/16,1.45357
2016/1/15,1.44472
2016/1/14,1.43631
2016/1/13,1.42538
2016/1/12,1.42358
2016/1/11,1.41627
2016/1/10,1.41694
2016/1/9,1.4169
2016/1/8,1.41058
2016/1/7,1.40998
2016/1/6,1.40506
2016/1/5,1.39415
2016/1/4,1.39058
2016/1/3,1.38309
2016/1/2,1.38309
2016/1/1,1.38309
2015/12/31,1.3869
2015/12/30,1.38635
2015/12/29,1.3878
2015/12/28,1.38639
2015/12/27,1.38467
2015/12/26,1.38467
2015/12/25,1.38467
2015/12/24,1.38511
2015/12/23,1.39029
2015/12/22,1.39408
2015/12/21,1.39441
2015/12/20,1.39549
2015/12/19,1.39544
2015/12/18,1.39347
2015/12/17,1.38443
2015/12/16,1.37595
2015/12/15,1.37128
2015/12/14,1.37335
2015/12/13,1.37537
2015/12/12,1.37531
2015/12/11,1.36683
2015/12/10,1.3569
2015/12/9,1.3574
2015/12/8,1.35428
2015/12/7,1.34339
2015/12/6,1.33605
2015/12/5,1.33608
2015/12/4,1.33545
2015/12/3,1.33422
2015/12/2,1.33672
2015/12/1,1.33475
2015/11/30,1.33668
2015/11/29,1.33675
2015/11/28,1.33675
2015/11/27,1.33266
2015/11/26,1.32978
2015/11/25,1.33017
2015/11/24,1.33395
2015/11/23,1.33752
2015/11/22,1.334
2015/11/21,1.33404
2015/11/20,1.33065
2015/11/19,1.32752
2015/11/18,1.33248
2015/11/17,1.33243
2015/11/16,1.33219
2015/11/15,1.33216
2015/11/14,1.33215
2015/11/13,1.33008
2015/11/12,1.32728
2015/11/11,1.3262
2015/11/10,1.32698
2015/11/9,1.32828
2015/11/8,1.33022
2015/11/7,1.33057
2015/11/6,1.32092
2015/11/5,1.31596
2015/11/4,1.30877
2015/11/3,1.3095
2015/11/2,1.30857
2015/11/1,1.3073
2015/10/31,1.3073
2015/10/30,1.31371
2015/10/29,1.31939
2015/10/28,1.32285
2015/10/27,1.31972
2015/10/26,1.31534
2015/10/25,1.31632
2015/10/24,1.31632
2015/10/23,1.31055
2015/10/22,1.31175
2015/10/21,1.30273
2015/10/20,1.30041
2015/10/19,1.2946
2015/10/18,1.28961
2015/10/17,1.28961
2015/10/16,1.28904
2015/10/15,1.28967
2015/10/14,1.29943
2015/10/13,1.30265
2015/10/12,1.29451
2015/10/11,1.29418
2015/10/10,1.29418
2015/10/9,1.29627
2015/10/8,1.30448
2015/10/7,1.30272
2015/10/6,1.30751
2015/10/5,1.31179
2015/10/4,1.31495
2015/10/3,1.31495
2015/10/2,1.32245
2015/10/1,1.32785
2015/9/30,1.34001
2015/9/29,1.3409
2015/9/28,1.33432
2015/9/27,1.33259
2015/9/26,1.33259
2015/9/25,1.33297
2015/9/24,1.33343
2015/9/23,1.32887
2015/9/22,1.32525
2015/9/21,1.32197
2015/9/20,1.32221
2015/9/19,1.32221
2015/9/18,1.31355
2015/9/17,1.31777
2015/9/16,1.32179
2015/9/15,1.32531
2015/9/14,1.32479
2015/9/13,1.32553
2015/9/12,1.32553
2015/9/11,1.32463
2015/9/10,1.32408
2015/9/9,1.32113
2015/9/8,1.32576
2015/9/7,1.32775
2015/9/6,1.3277
2015/9/5,1.3277
2015/9/4,1.32232
2015/9/3,1.32423
2015/9/2,1.32523
2015/9/1,1.31669
2015/8/31,1.32322
2015/8/30,1.3198
2015/8/29,1.3198
2015/8/28,1.32141
2015/8/27,1.32492
2015/8/26,1.33107
2015/8/25,1.3263
2015/8/24,1.32315
2015/8/23,1.31792
2015/8/22,1.31792
2015/8/21,1.31087
2015/8/20,1.31144
2015/8/19,1.30755
2015/8/18,1.30896
2015/8/17,1.31071
2015/8/16,1.30943
2015/8/15,1.30943
2015/8/14,1.30659
2015/8/13,1.30136
2015/8/12,1.30547
2015/8/11,1.30698
2015/8/10,1.3113
2015/8/9,1.31282
2015/8/8,1.31282
2015/8/7,1.31183
2015/8/6,1.31585
2015/8/5,1.31844
2015/8/4,1.31476
2015/8/3,1.31323
2015/8/2,1.30836
2015/8/1,1.30836
2015/7/31,1.30238
2015/7/30,1.2979
2015/7/29,1.29319
2015/7/28,1.29973
2015/7/27,1.30248
2015/7/26,1.30395
2015/7/25,1.30395
2015/7/24,1.30447
2015/7/23,1.30162
2015/7/22,1.29851
2015/7/21,1.29804
2015/7/20,1.29855
2015/7/19,1.29703
2015/7/18,1.29703
2015/7/17,1.29721
2015/7/16,1.29338
2015/7/15,1.27964
2015/7/14,1.27545
2015/7/13,1.27211
2015/7/12,1.26485
2015/7/11,1.26485
2015/7/10,1.27027
2015/7/9,1.27175
2015/7/8,1.273
2015/7/7,1.26968
2015/7/6,1.26168
2015/7/5,1.25616
2015/7/4,1.25616
2015/7/3,1.25598
2015/7/2,1.25828
2015/7/1,1.25217
2015/6/30,1.2425
2015/6/29,1.23541
2015/6/28,1.23133
2015/6/27,1.23133
2015/6/26,1.23425
2015/6/25,1.23685
2015/6/24,1.23425
2015/6/23,1.23321
2015/6/22,1.22697
2015/6/21,1.22639
2015/6/20,1.22639
2015/6/19,1.2244
2015/6/18,1.22064
2015/6/17,1.22974
2015/6/16,1.23233
2015/6/15,1.23261
2015/6/14,1.23101
2015/6/13,1.23101
2015/6/12,1.23022
